accession,country,date
KM392230.1,USA,Dec-2013
KM392229.1,USA,Dec-2013
KM392228.1,USA,Dec-2013
KM392227.1,USA,Nov-2013
KM392225.1,USA,Jun-2013
KM392232.1,USA,Dec-2013
KM392231.1,USA,Dec-2013
KM392226.1,USA,Nov-2013
KM392224.1,USA,Jun-2013
KJ184549.1,USA: Kansas,2013
KJ906603.1,Mexico,30-Sep-2013
KJ906602.1,Mexico,30-Sep-2013
KJ906601.1,Mexico,30-Sep-2013
KM052365.1,USA,15-May-2013
KM077139.1,USA: Minnesota,22-Jan-2014
KM044335.1,Mexico,02-Apr-2014
KM044334.1,Mexico,02-Apr-2014
KM044333.1,Mexico,02-Apr-2014
KM044332.1,Mexico,02-Apr-2014
KM044331.1,Mexico,02-Apr-2014
KM044330.1,Mexico,02-Apr-2014
KM044329.1,Mexico,02-Apr-2014
KM044328.1,Mexico,02-Apr-2014
KM196111.1,Canada,12-Feb-2014
KM196110.1,Canada,15-Feb-2014
KM196109.1,Canada,21-Feb-2014
KJ767196.1,USA,01-Feb-2014
KJ767195.1,USA,01-Feb-2014
KJ645708.1,Mexico,03-Nov-2013
KJ645707.1,USA: Minnesota,03-Dec-2013
KJ645706.1,USA: Minnesota,25-Nov-2013
KJ645705.1,USA: Minnesota,18-Nov-2013
KJ645704.1,USA: Minnesota,26-Jun-2013
KJ645703.1,USA: Minnesota,02-Feb-2014
KJ645702.1,USA: Ohio,29-Jan-2014
KJ645701.1,USA: Kansas,27-Jan-2014
KJ645700.1,Mexico,22-Jan-2014
KJ645699.1,USA: Ohio,15-Dec-2013
KJ645698.1,USA: Ohio,01-Jan-2014
KJ645697.1,USA: Texas,12-Nov-2013
KJ645696.1,USA: Iowa,29-Dec-2013
KJ645695.1,USA: Iowa,29-Dec-2013
KJ645694.1,USA: Iowa,15-Dec-2013
KJ645693.1,USA: Missouri,15-Dec-2013
KJ645692.1,USA: Missouri,15-Dec-2013
KJ645691.1,USA: Minnesota,14-Dec-2013
KJ645690.1,USA: Illinois,11-Dec-2013
KJ645689.1,USA: Illinois,11-Dec-2013
KJ645688.1,USA: Iowa,11-Dec-2013
KJ645687.1,USA: Minnesota,10-Dec-2013
KJ645686.1,USA: Minnesota,10-Dec-2013
KJ645685.1,USA: Missouri,11-Dec-2013
KJ645684.1,USA: Missouri,11-Dec-2013
KJ645683.1,USA: NorthCarolina,08-Dec-2013
KJ645682.1,USA: Minnesota,04-Dec-2013
KJ645681.1,USA: Minnesota,04-Dec-2013
KJ645680.1,USA: Illinois,04-Dec-2013
KJ645679.1,USA: Minnesota,07-Dec-2013
KJ645678.1,USA: Minnesota,04-Dec-2013
KJ645677.1,USA: Minnesota,02-Dec-2013
KJ645676.1,USA: Minnesota,02-Dec-2013
KJ645675.1,USA: Illinois,03-Dec-2013
KJ645674.1,USA: Minnesota,30-Nov-2013
KJ645673.1,USA: Minnesota,28-Nov-2013
KJ645672.1,USA: Minnesota,28-Nov-2013
KJ645671.1,USA: Minnesota,30-Nov-2013
KJ645670.1,USA: Ohio,27-Nov-2013
KJ645669.1,USA: Wisconsin,27-Nov-2013
KJ645668.1,USA: Minnesota,25-Nov-2013
KJ645667.1,USA: Minnesota,28-Nov-2013
KJ645666.1,USA: Iowa,24-Nov-2013
KJ645665.1,USA: Ohio,24-Nov-2013
KJ645664.1,USA: Ohio,24-Nov-2013
KJ645663.1,USA: Minnesota,23-Nov-2013
KJ645662.1,USA: NorthCarolina,23-Nov-2013
KJ645661.1,USA: Minnesota,20-Nov-2013
KJ645660.1,USA: Minnesota,19-Nov-2013
KJ645659.1,USA: Illinois,19-Nov-2013
KJ645658.1,USA: Minnesota,18-Nov-2013
KJ645657.1,USA: Ohio,12-Nov-2013
KJ645656.1,USA: Minnesota,11-Nov-2013
KJ645655.1,USA: Minnesota,05-Nov-2013
KJ645654.1,USA: Tennesse,04-Nov-2013
KJ645653.1,USA: Wisconsin,03-Nov-2013
KJ645652.1,USA: Minnesota,02-Nov-2013
KJ645651.1,USA: Colorado,23-Oct-2013
KJ645650.1,USA: Kansas,23-Oct-2013
KJ645649.1,USA: Iowa,20-Oct-2013
KJ645648.1,USA: Minnesota,20-Oct-2013
KJ645647.1,USA: Minnesota,14-Oct-2013
KJ645646.1,USA: NorthCarolina,05-Oct-2013
KJ645645.1,USA: Texas,28-Sep-2013
KJ645644.1,USA: Oklahoma,07-Sep-2013
KJ645643.1,USA: Kansas,01-Sep-2013
KJ645642.1,USA: Oklahoma,26-Aug-2013
KJ645641.1,USA: Indiana,21-Aug-2013
KJ645640.1,USA: Oklahoma,24-Jul-2013
KJ645639.1,USA: Texas,22-Jul-2013
KJ645638.1,USA: Colorado,22-Jul-2013
KJ645637.1,USA: Kansas,15-Jul-2013
KJ645636.1,USA: Iowa,14-Jul-2013
KJ645635.1,USA: Indiana,08-Jun-2013
KJ778616.1,USA,20-May-2013
KJ778615.1,USA,20-May-2013
KJ584361.1,USA: Ohio,14-Jun-2013
KJ408801.1,USA: Ohio,23-Jan-2014
KJ399978.1,USA: Ohio,15-Jan-2014
KF804028.1,USA,16-May-2013
KF650373.1,USA,06-Jun-2013
KF650370.1,USA,16-May-2013
KF452323.1,USA,07-May-2013
KF452322.1,USA,29-Apr-2013
KF468752.1,USA: Minnesota,19-Jun-2013
KF468754.1,USA: Iowa,2013
KF468753.1,USA: Iowa,2013
KF272920.1,USA: Colorado,10-May-2013
KF267450.1,USA: CO,29-May-2013
